#lan,distance,concept1,concept2
10,8.269990921020508,pointed,top
10,8.202982902526855,i,fish
10,8.153243064880371,swelling,boil
10,8.124955177307129,dung,spicy
10,8.119974136352539,vine,vein
10,8.100726127624512,short,wood
10,8.06441879272461,axe,saw
10,8.01232624053955,leather,goat
10,7.996801853179932,alcohol,beverage
10,7.993466377258301,teach,liver
10,7.9844465255737305,dog,drum
10,7.971062183380127,teach,announce
10,7.9585371017456055,yam,fell
10,7.955650806427002,horn,tooth
10,7.949140548706055,and,no
10,7.936581134796143,pumpkin,melon
10,7.929168701171875,name,water
10,7.923105239868164,custom,law
10,7.894742488861084,beeswax,ointment
10,7.893584251403809,bite,my
10,7.884571075439453,hunt,pursue
10,7.782067775726318,seven,iron
10,7.713333606719971,rotten,salt
10,7.662269115447998,buttocks,faeces
10,7.6402130126953125,canoe,ship
10,7.607265949249268,rough,wave
10,7.5572123527526855,fast,hot
10,7.510916709899902,blood,year
10,7.503963947296143,calf,meat
10,7.46944522857666,carry,seize
10,7.465060710906982,build,mold
10,7.422692775726318,cheap,light
10,7.3996052742004395,stomach,heart
10,7.399541854858398,long,taste
10,7.348109245300293,ground,mainland
10,7.336228370666504,name,fire
10,7.31110954284668,star,seven
10,7.3070855140686035,moon,stone
10,7.264468193054199,clay,floor
10,7.260739803314209,rise,leave
10,7.256781101226807,bite,cut
10,7.233870029449463,ox,ram
10,7.197225570678711,tell,speech
10,7.190432548522949,regret,sad
10,7.173659324645996,lock,iron
10,7.166059494018555,rotten,smell
10,7.077713489532471,pot,dish
10,7.071882247924805,bird,tree
10,7.0457658767700195,tooth,bone
10,7.042684078216553,dry,thin
10,7.009403228759766,wound,bruise
10,6.970246315002441,know,study
10,6.954631328582764,yam,yes
10,6.931393146514893,early,immediately
10,6.918929100036621,inside,stomach
10,6.890669822692871,mother,female
10,6.859447956085205,dark,blind
10,6.779850482940674,shoot,strike
10,6.7734856605529785,tool,weapons
10,6.767345905303955,weigh,count
10,6.716038703918457,envy,doubt
10,6.690850257873535,father,father-in-law
10,6.6222243309021,sick,body
10,6.588091850280762,stick,tree
10,6.545038223266602,shake,swing
10,6.544033050537109,country,area
10,6.443819999694824,rub,wash
10,6.430805683135986,short,few
10,6.377707481384277,suck,eat
10,6.277106761932373,i,we
10,6.21461820602417,fingernail,nail
10,6.142383575439453,hold,get
10,6.040384769439697,shine,light
10,5.927353382110596,copper,steel
10,5.916496753692627,get,meet
10,5.9036946296691895,forest,mountain
10,5.877512454986572,give,my
10,5.83693790435791,push,squeeze
10,5.597496032714844,day,world
10,5.47625207901001,bright,yellow
10,5.450325012207031,where,from
10,5.414145469665527,good,sweet
10,5.389247894287109,yesterday,year
10,5.374922752380371,tired,lazy
10,5.29085636138916,our,we
10,5.137197017669678,jump,run
10,4.836082935333252,what,yes
10,4.656179428100586,father-in-law,mother-in-law
10,4.6308979988098145,get,see
9,9.857928276062012,louse,we
9,9.344255447387695,axle,post
9,9.318674087524414,teach,pour
9,9.203767776489258,outrigger,ship
9,9.038684844970703,path,macaw
9,8.937898635864258,leg,cloud
9,8.824198722839355,wool,hair
9,8.819463729858398,axle,arrow
9,8.791850090026855,oath,dog
9,8.782832145690918,knife,daughter-in-law
9,8.748035430908203,thirsty,kill
9,8.67280387878418,arrive,lung
9,8.663040161132812,sweep,firewood
9,8.652414321899414,peel,bowl
9,8.583603858947754,fight,scold
9,8.577229499816895,fire,thorn
9,8.573311805725098,yoke,house
9,8.557700157165527,sick,groan
9,8.466249465942383,name,tooth
9,8.460676193237305,weave,drumming
9,8.448346138000488,yoke,room
9,8.372382164001465,elevation,height
9,8.356354713439941,give,betray
9,8.348767280578613,sharp,fruit
9,8.199265480041504,arrange,repair
9,8.197932243347168,salty,idle
9,8.191023826599121,bridge,bed
9,8.190533638000488,root,nose
9,8.162016868591309,destroy,misplace
9,8.153048515319824,soup,tear
9,8.143909454345703,louse,bird
