#languages that colexify these two concepts,concept1,concept2
26,GUESS,THINK (REFLECT)
26,GRIND,MILL
26,GOOD,RIGHT
26,FOREST,BUSH
26,FOG,SMOKE (EXHAUST)
26,FISHNET,NETBAG
26,EARTH (SOIL),DUST
26,DIG,DROP (SOMETHING)
26,DIE,DIE (FROM ACCIDENT)
26,DEFEND,PROTECT
26,DAWN,MORNING
26,CLOTHES,DRESS
26,CARRY ON SHOULDER,CARRY ON HEAD
26,CARRY,PICK UP
26,BELIEVE,THINK (BELIEVE)
26,ACCUSE,CONDEMN
25,YELLOW,GOLD
25,WALL (OF HOUSE),FENCE
25,TWIST (AROUND),SPIN
25,TRADE OR BARTER,CHANGE
25,STRAIGHT,RIGHT
25,SPRINGTIME,SUMMER
25,SPIN,BRAID (VERB) OR WEAVE (BASKET)
25,SPEAR,ARROW
25,SMALL,SHORT
25,SELL,BETRAY
25,SALTY,SALT
25,ROOT,VEIN
25,PAIN,GRIEF
25,NIPPLE,UDDER
25,MANNER,CUSTOM
25,LOOK,LOOK FOR
25,GO,COME
25,GIVE,SELL
25,GHOST,SPIRIT
25,GATHER,JOIN
25,FROST,COLD (CHILL)
25,EVIL,SEVERE
25,EDGE,END (OF SPACE)
25,DRIP (EMIT LIQUID),DROP (SOMETHING)
25,CULTIVATE,PLANT (SOMETHING)
25,CEASE,DO
25,BUY,SELL
25,BRIDGE,LADDER
24,YOUR (SINGULAR),YOUR (PLURAL)
24,YOUR (SINGULAR),THEE (OBLIQUE CASE OF YOU)
24,WRONG,FAULT
24,WORD,BOOK
24,WIFE,MARRIED WOMAN
24,VOICE,TONE (MUSIC)
24,TWIST,BEND (SOMETHING)
24,TOUCH,FEEL
24,TAKE,GIVE
24,SWELLING,ITCH
24,SOUL,HEART
24,SINK (DESCEND),DIVE
24,SHOUT,HOWL
24,SHELL,SNAIL
24,SHARE,SEPARATE
24,SAY,ANNOUNCE
24,RUB,SCRAPE
24,ROLL,TWIST (AROUND)
24,PURSUE,DISPEL
24,PLOUGH,PLOUGH (INSTRUMENT)
24,PLAIN,PASTURE
24,PINCH,PRESS
24,PART,PIECE
24,MOVE (ONESELF),BUDGE (ONESELF)
24,MOVE,WALK
24,MOUTH,BEAK
24,MEASURE,COUNT
24,LOUSE,PREGNANT
24,HOPE,BELIEVE
24,HIGH,LONG
24,HEAD LOUSE,BODY LOUSE
24,HARD,SOLID
24,GRASS,PASTURE
24,FAMILY,HOUSE
24,FAECES (EXCREMENT),DUNG (ANIMAL FAECES)
24,DYE,COLOR
24,DUST,FOG
24,DITCH,FURROW
24,DAUGHTER-IN-LAW (OF MAN),SON-IN-LAW (OF WOMAN)
24,COUSIN,SIBLING
24,COOK (SOMETHING),FAT (OBESE)
24,CHEAP,EASY
24,CARRY IN HAND,CARRY ON HEAD
24,ARM,ARM OR HAND
24,ADMIT,OBEY
23,YOUNGER BROTHER,YOUNGER SIBLING
23,WOUND,SCAR
23,WINE,ALCOHOL (FERMENTED DRINK)
23,TURN (SOMETHING),CHANGE
23,THIN (OF SHAPE OF OBJECT),FINE OR THIN
23,THEIR,HIS (GENITIVE OF HE)
23,TALK,CHAT (WITH SOMEBODY)
23,STRIKE OR BEAT,KILL
23,SPIT,VOMIT
23,SON-IN-LAW (OF MAN),DAUGHTER-IN-LAW (OF MAN)
23,SOFT,GENTLE
23,SELL,TRADE OR BARTER
23,SEE,MEET
23,SAIL,ROW
23,RAFTER,RIDGEPOLE
23,POUR,IRRIGATE
23,MOVE,GO
23,MIND,BRAIN
23,MEAL,DINNER (SUPPER)
23,LIGHT (RADIATION),DAY (NOT NIGHT)
23,LEG,LOWER LEG
23,KNOW (SOMETHING),KNOW OR BE ABLE
23,JUMP,FLY (MOVE THROUGH AIR)
23,HOT,FEVER
23,HEAR,FEEL
23,HE OR SHE OR IT,SHE
23,HE OR SHE OR IT,HE
23,GRANDDAUGHTER,NEPHEW
23,FOWL,HEN
23,FLOOR,WORLD
23,FEATHER,PEN
23,FEATHER,FEATHER OR FUR OR HAIR
23,DUST,SMOKE (EXHAUST)
23,COUNTRY,NATIVE COUNTRY
23,CARRY IN HAND,CARRY ON SHOULDER
23,BATHE,BATHE (SOMEONE)
22,WORM,SNAKE
22,WHITE,LIGHT (COLOR)
22,WEIGH,STRETCH
22,TRY,CHECK
22,TREE TRUNK,TREE STUMP
22,STATUE,IDOL
22,SMALL,SHALLOW
22,SLOW,SILENCE
22,SKULL,HEAD
22,SKIRT,DRESS
22,SHEEP,LAMB
22,SHEEP,GOAT
22,RIPE,RIPEN
22,PEOPLE,CLAN
22,PART,HALF
22,MY,OUR
22,MORTAR CRUSHER,PESTLE
22,MAINLAND,LAND
22,I,EAT
22,HOUSE,MEETING HOUSE
22,HOT,HEAT
22,HOLD,OWN
22,HINDER OR PREVENT,FORBID
22,HEAR,SMELL (PERCEIVE)
22,HARD,DIFFICULT
22,HANG UP,HANG
22,GUESS,SEEM
22,GARBAGE,DIRT
22,FLUTE,BRASS INSTRUMENT (HORN OR TRUMPET)
22,FISH,FIVE
22,FIGHT,BATTLE
22,EARLY,SOON
22,DARK,OBSCURE
22,CUT,SPLIT
22,COOKED,COOK (SOMETHING)
22,CHANGE,TURN
22,BELOW OR UNDER,BOTTOM
22,BEE,WASP
22,BABY,CHILD (DESCENDANT)
21,YOUNGER SISTER,SISTER
21,WHITE,SILVER
21,WEAVE,PLAIT OR BRAID OR WEAVE
21,VILLAGE,COUNTRY
21,VEGETABLES,PREPARED FOOD
