concept 1,concept 2,language weight,similarity
bow,arch,28,0.14929476855377954
stand,cease,28,0.03274122263742016
cattle,animal,28,0.15663830678821392
leg,bone,28,0.433567049577164
die,death,28,0.31862269902245327
wool,fur,28,0.27614572531652315
louse,flea,28,0.47084847461257295
skin,body,28,0.27959415338796345
place,area,28,0.03295247576912177
circle,wheel,28,0.2652590044696705
small,young,28,0.016133062948623968
stove,fireplace,28,0.5259061968543175
tall,loud,28,0.14014726467931427
push,refuse,27,0.09755893942619263
doubt,suspect,27,0.3838426532478079
intention,idea,27,0.20193537339185821
bad,wrong,27,0.35621172844216004
sit,remain,27,0.18878138250895246
spear,wood,27,0.11999769874076689
saucer,plate,27,0.2605616403115593
knife,sword,27,0.4245868938253136
corpse,body,27,0.22043251601798286
sweep,wipe,27,0.14192123159846715
big,powerful,27,0.14406014237550344
side,half,27,0.10578302243965301
stone,rock,27,0.44216203502557483
girl,boy,27,0.6926520217761385
language,mouth,27,0.028223830857068907
cow,bull,27,0.37422285201516114
voice,neck,27,0.07318091466901581
open,untie,27,0.09703512329442848
son,child,27,0.40843234013553176
get,buy,27,0.38604096057416193
egg,fruit,27,0.29629843600400696
hut,room,27,0.3041861662368901
bowl,plate,27,0.2976715544291514
wing,leaf,27,0.2733550612694952
accuse,condemn,26,0.41962658458163443
sleep,dream,26,0.3173495936053425
dig,drop,26,0.06435201612905532
guess,think,26,0.38423197814954
pinch,squeeze,26,0.29569400160455594
defend,protect,26,0.5628533985888422
dawn,morning,26,0.4620646363891556
forest,bush,26,0.46208063162861
send,command,26,0.21882313488939525
wind,cold,26,0.2439614111772897
sap,water,26,0.2596844033453741
fog,smoke,26,0.4295638378961399
liver,heart,26,0.24148198162853832
hard,rough,26,0.33321688592205045
weigh,pull,26,0.17873098170303894
grind,mill,26,0.298938242567057
believe,think,26,0.5091810623735301
good,right,26,0.10358427151412869
hill,elevation,26,0.1602323840506999
clothes,dress,26,0.49612121257779895
earth,dust,26,0.32869634914238144
small,short,25,0.24197130573319106
spear,arrow,25,0.5229800142738753
buy,sell,25,0.6745586439239069
yellow,gold,25,0.264746045214148
wall,fence,25,0.3954516316641276
bridge,ladder,25,0.12255743688212116
manner,custom,25,0.06621847070844755
evil,severe,25,0.04631913141965472
springtime,summer,25,0.3762792824209687
edge,end,25,0.25716110732167513
pain,grief,25,0.4392117801882788
frost,cold,25,0.35084332825503073
straight,right,25,0.17603064486342934
cultivate,plant,25,0.16130988466449608
sell,betray,25,0.12193274713392746
twist,spin,25,0.2242642185904706
cease,do,25,0.2632931439087527
root,vein,25,0.20276153530050567
gather,join,25,0.09767897592374623
ghost,spirit,25,0.36838554416915087
nipple,udder,25,0.3278595148241517
give,sell,25,0.2847863775285674
go,come,25,0.463219749996545
drip,drop,25,0.39171424859224097
dye,color,24,0.22626029874268577
twist,bend,24,0.26712210976534445
rub,scrape,24,0.2111354174438839
take,give,24,0.36431746016067085
soul,heart,24,0.47417048486240126
part,piece,24,0.13917261456138644
hope,believe,24,0.3465293101265746
ditch,furrow,24,0.25993660126213447
sink,dive,24,0.30868050515903933
wrong,fault,24,0.30291052788166245
say,announce,24,0.14707407423121896
dust,fog,24,0.33100693874683784
grass,pasture,24,0.3625420347325165
word,book,24,0.13744032059591965
move,walk,24,0.3651622902634042
move,budge,24,0.14837969100944023
swelling,itch,24,0.15647721069326462
roll,twist,24,0.09217748983002819
mouth,beak,24,0.3137954890179177
shell,snail,24,0.3157813384328876
pursue,dispel,24,0.08379777647628109
admit,obey,24,0.13321717645351344
cook,fat,24,0.10618155018131653
plain,pasture,24,0.2608475144942212
hard,solid,24,0.19382962192750447
voice,tone,24,0.5523842024866996
touch,feel,24,0.2430736833950424
shout,howl,24,0.43005747188371785
share,separate,24,0.09021123128133302
cheap,easy,24,0.27329272685348127
high,long,24,0.05487330160810529
family,house,24,0.26948765301503863
faeces,dung,24,0.2304042763244286
see,meet,23,0.20791903681939763
fowl,hen,23,0.3408421186162211
dust,smoke,23,0.35094243876309084
talk,chat,23,0.4283868744804432
hot,fever,23,0.1677497063502737
move,go,23,0.29688962124534146
wine,alcohol,23,0.2930035556591876
spit,vomit,23,0.16772846994604163
soft,gentle,23,0.3937330508820356
turn,change,23,0.19434387344614953
feather,pen,23,0.1724328847295216
mind,brain,23,0.32177100812648396
sail,row,23,0.15695622565855077
