concept 1,concept 2,language weight,similarity
magic,magician,7,0.4105949374539662
chimney,smoke,3,0.4104195122094881
spear,axe,5,0.41009664010073354
understand,think,4,0.4099782083714433
understand,think,2,0.4099782083714433
admit,permit,3,0.40991938724011195
wash,wipe,6,0.4098546361600041
shoot,arrow,5,0.4097097141909011
anger,envy,4,0.4096400164880166
god,lord,2,0.4096004004943459
year,summer,20,0.4092545545274934
darkness,dark,40,0.40920108012896833
mouth,throat,3,0.4091520622180733
soot,dirt,2,0.40910775507312774
lagoon,lake,50,0.4090138674531617
adultery,rape,2,0.4089959927178184
butter,oil,49,0.408809999221865
son,child,6,0.40843234013553176
son,child,31,0.40843234013553176
son,child,27,0.40843234013553176
get,catch,19,0.40819273561864605
garbage,dirt,22,0.40807923218563635
road,path,133,0.40773070691326285
rabbit,hare,18,0.4076428632427548
red,brown,3,0.40756808499795794
plant,fruit,10,0.40730322178225836
canoe,paddle,2,0.40726275299668285
fear,danger,48,0.40720546821033143
flame,fire,42,0.4069618938181928
insect,worm,35,0.4068703166604168
pay,buy,12,0.40686439444312744
buttocks,anus,2,0.4065371018075018
arm,chair,3,0.4062546033172111
string,thread,3,0.4060381834680517
wolf,fox,4,0.40580254730622023
ointment,oil,10,0.4057601619205036
light,lamp,2,0.40570423285769497
jaw,lip,4,0.40564592782487985
tell,talk,6,0.40558692589705864
wife,family,4,0.4052726679044858
bite,itch,3,0.4049723555860237
dinner,afternoon,2,0.4048489478484856
armour,shield,5,0.40482585781379216
grain,maize,5,0.40475993434672736
mud,wet,2,0.4047050631867129
wife,friend,4,0.40466826620465857
forest,mountain,10,0.4046601265691339
get,want,4,0.4042675076492263
dust,cloud,3,0.404054599694839
family,clan,8,0.4038959725314093
flat,slab,2,0.40377892032794205
cattle,cow,62,0.4034796333224009
clay,sand,3,0.40329884470001376
cooked,roast,2,0.40317452298120693
canoe,ship,10,0.4031319286424045
bright,yellow,10,0.4028104454885082
thunder,storm,2,0.4027602078381489
left,right,2,0.40264401638079983
flower,fruit,4,0.40259584181368496
sell,market,2,0.40210658586365255
horse,dog,2,0.4017794236381167
hoe,shovel,4,0.40177250461215663
lake,ocean,8,0.401196992673827
before,after,3,0.4008322066757609
black,grey,5,0.4006389861051648
want,ask,15,0.40057265032095407
skirt,dress,22,0.40045964034860676
judgment,judge,2,0.4004503100696287
fortress,tower,16,0.3999760081650186
thigh,buttocks,11,0.3997596024409398
deaf,mute,6,0.39943709351896256
flame,smoke,3,0.3994021686857765
rudder,oar,9,0.3991413788367521
sky,heaven,117,0.3991192721717663
cloak,clothes,4,0.3988330116550852
vine,grape,12,0.3983844811864569
jaw,palate,3,0.3983450846299606
cattle,horse,3,0.3981801731113804
lock,key,29,0.3976174057938304
insect,caterpillar,6,0.3975789004843492
stranger,guest,16,0.3974742378219819
now,here,3,0.39739467731217865
i,my,63,0.397049581026658
earn,wages,2,0.39672224552691454
guest,friend,3,0.39668647847274047
kidney,testicles,4,0.3961975819224691
corpse,grave,3,0.3958667581953256
furrow,plough,3,0.39578732170738856
stupid,lazy,2,0.3955952692813527
season,weather,8,0.3954523694506033
wall,fence,25,0.3954516316641276
neck,bone,13,0.3954192613580186
bird,snake,3,0.3952386491096698
parents,father,2,0.3950793174061745
grandmother,granddaughter,6,0.3949770160159954
want,do,5,0.3949759808007294
saucer,dish,29,0.39493272312560107
what,why,19,0.3947863205557805
worm,caterpillar,3,0.3945058244589264
coat,blanket,2,0.394502299912415
leave,left,2,0.39436718669673787
how,why,42,0.3943064310929611
drunk,mad,2,0.39425557177269493
you,not,2,0.3939279585116858
saucer,cup,8,0.3937927386841427
soft,gentle,23,0.3937330508820356
coat,skirt,2,0.3935179817364073
fruit,harvest,6,0.3933255138062775
money,gold,2,0.39318353195238426
skull,brain,2,0.3930682977782722
go,walk,2,0.39282968367556165
walk,go,288,0.39282968367556165
tie,rope,12,0.3926548446754559
sit,wait,3,0.39242805912588613
mother,my,2,0.39210340665969484
dirty,black,59,0.3920630971554699
meal,eat,34,0.3919530445579212
sink,drown,6,0.3919240480363283
expensive,difficult,9,0.39173667221523406
drip,drop,25,0.39171424859224097
crab,lobster,3,0.39164598034407255
silk,thread,2,0.39163815548937736
hut,thatch,2,0.3913714464260291
mat,blanket,4,0.39132882266481067
wheel,cart,4,0.39130451114030074
damage,injure,7,0.39127446935877686
side,left,2,0.39086852699418256
vegetables,plant,7,0.39074935480884126
my,me,46,0.3907422368426164
suspect,accuse,3,0.3907227315546712
clothes,wear,3,0.3907209596874201
cow,pig,2,0.389880722857489
dry,cold,3,0.38966492977465966
meal,flour,4,0.3896227918262582
answer,ask,3,0.38950254830672765
ask,answer,5,0.38950254830672765
learn,read,62,0.3894648936753939
girl,daughter,189,0.3894216089095659
sausage,meat,2,0.3892646713851515
axe,sword,2,0.38909760752108563
eat,feed,2,0.38894802460343114
speak,do,2,0.38878252600277513
deny,forbid,7,0.388672247488129
shoe,hoof,2,0.3885136560512806
grass,bush,2,0.3884922056841225
seem,think,9,0.38844856127272814
seem,think,3,0.38844856127272814
beer,beverage,3,0.3882824274097743
immediately,instantly,8,0.38827999030754284
people,country,5,0.38821668897127143
urine,bladder,2,0.38805877680299056
anxiety,fear,10,0.3880361715959632
clothes,blanket,2,0.3879514830034196
wound,scar,23,0.3878219368632841
trousers,skirt,2,0.3878023454864912
sheep,ewe,91,0.38721796922546536
burn,fire,3,0.3871287565239155
fire,burn,10,0.3871287565239155
disease,ulcer,2,0.3869355455898959
bathe,wash,153,0.38649692569741334
bathe,wash,7,0.38649692569741334
understand,remember,4,0.3864007087608449
raft,ship,2,0.3863871558951876
if,i,2,0.3862064065434656
shell,bone,2,0.38618714055169473
water,stream,2,0.38618019462561315
red,purple,2,0.3861750581776148
whale,shark,13,0.3860439359802762
get,buy,27,0.38604096057416193
pain,anxiety,3,0.3860038575234199
fish,fishing,3,0.38593059737358193
fish,shark,4,0.38569102524173354
girl,wife,2,0.38562284921165
rob,steal,4,0.38547533493806485
again,back,3,0.3854075204757457
pay,sell,11,0.3854045640339459
cold,ice,4,0.3853979080202482
ice,cold,2,0.3853979080202482
see,look,121,0.3848080182215609
see,understand,7,0.38480510281297325
see,think,5,0.38470991674343324
see,think,4,0.38470991674343324
neighbour,friend,2,0.3843623030299696
pay,tax,2,0.3842974036258359
guess,think,31,0.38423197814954
