euclidean distance,concept1,concept2
4.682463645935059,where,back
4.6841254234313965,now,this
4.684506416320801,accuse,blame
4.686875343322754,stepfather,uncle
4.687021732330322,granddaughter,grandfather
4.689623832702637,wife,aunt
4.69023323059082,many,difficult
4.6922078132629395,get,break
4.692670822143555,poor,bad
4.693827152252197,yellow,green
4.695073127746582,say,talk
4.6964898109436035,take,think
4.69657039642334,above,up
4.700036525726318,some,which
4.701481342315674,day,one
4.702692985534668,say,answer
4.704071521759033,want,use
4.7064924240112305,son,nephew
4.713057994842529,yellow,white
4.714840888977051,put,set
4.714942455291748,stinking,rotten
4.715012073516846,see,seem
4.715147018432617,feel,believe
4.716395854949951,regret,pity
4.717757225036621,breakfast,lunch
4.718056678771973,red,black
4.723200798034668,hear,see
4.72519588470459,give,lend
4.728247165679932,many,not
4.730405330657959,see,try
4.733426094055176,see,notice
4.734007835388184,bring,find
4.734230995178223,give,now
4.735291004180908,year,day
4.735501766204834,hold,that
4.7359700202941895,they,he
4.73947811126709,fall,fell
4.742295265197754,hurry,soon
4.742743015289307,two,twenty
4.742932319641113,stallion,foal
4.743950843811035,cry,shout
4.744534015655518,mother,mother-in-law
4.744534015655518,mother,mother-in-law
4.744534015655518,mother-in-law,mother
4.744614601135254,go,sit
4.746938705444336,have,keep
4.752675533294678,and,still
4.752979755401611,follow,see
4.754376411437988,hear,believe
4.755789279937744,work,make
4.755789279937744,work,make
4.75614070892334,tomorrow,day
4.757099151611328,keep,own
4.757227897644043,frog,toad
4.759227275848389,liver,kidney
4.7607340812683105,stupid,mad
4.762274742126465,go,pull
4.7628560066223145,midday,afternoon
4.76442289352417,hear,ask
4.765933990478516,take,pull
4.767098903656006,bring,gather
4.768249034881592,change,turn
4.768249034881592,turn,change
4.768586158752441,get,understand
4.769937038421631,grandson,grandchild
4.7725419998168945,enough,look
4.772763252258301,love,think
4.772763252258301,love,think
4.772763252258301,love,think
4.7758893966674805,feel,understand
4.7758893966674805,understand,feel
4.778341770172119,up,after
4.778541564941406,behind,end
4.77896785736084,want,pull
4.779078483581543,tomorrow,morning
4.779826641082764,now,immediately
4.780239582061768,see,good
4.783173561096191,mouth,tongue
4.7836761474609375,cattle,sheep
4.785957336425781,move,leave
4.786125659942627,thunder,lightning
4.789251327514648,leave,remain
4.79036283493042,give,this
4.790469169616699,with,own
4.792350769042969,similar,if
4.7941460609436035,stand,they
4.797966003417969,more,good
4.802211761474609,pull,squeeze
4.802855491638184,similar,seem
4.803340911865234,seem,become
4.807031154632568,ask,invite
4.808538913726807,half,middle
4.809871196746826,enough,ready
4.809983253479004,last,late
4.811229228973389,give,far
4.812450885772705,try,say
4.8144731521606445,see,show
4.815234661102295,want,desire
4.815601348876953,wide,broad
4.819143772125244,third,three
4.820613384246826,shoulder,neck
4.827813148498535,elbow,knee
4.830236911773682,you,our
4.832996368408203,mouth,throat
4.833888530731201,carry,hold
4.8342084884643555,miss,think
4.8342084884643555,think,miss
4.834375381469727,go,this
4.834957599639893,some,part
4.836413860321045,again,and
4.836432933807373,new,now
4.836937427520752,get,own
4.837717533111572,cheek,chin
4.838366508483887,see,read
4.838405132293701,small,few
4.839385509490967,feel,guess
4.841061592102051,come,good
4.842695713043213,one,person
4.84271764755249,because,after
4.844293594360352,get,help
4.84943962097168,wife,friend
4.8514604568481445,pine,fir
4.85195255279541,mind,meaning
4.852911949157715,take,work
4.852911949157715,take,work
4.853066921234131,behind,before
4.854067325592041,grief,anger
4.855239391326904,give,here
4.856088638305664,now,and
4.858260631561279,stallion,mare
4.858423233032227,ask,call
4.858423233032227,call,ask
4.859351634979248,have,hold
4.863486289978027,laugh,smile
4.863615989685059,carry,take
4.864723205566406,place,inside
4.8651838302612305,man,boy
4.868466377258301,know,own
4.86903715133667,cabbage,cauliflower
4.869702339172363,leave,say
4.87158203125,love,want
4.871748447418213,hold,get
4.872337341308594,vulva,vagina
4.873291015625,separate,split
4.87753963470459,piss,suck
4.8788323402404785,move,come
4.880220890045166,leave,sit
4.880305767059326,car,vehicle
4.88077974319458,true,good
4.882602214813232,second,two
4.883842945098877,stepmother,daughter-in-law
4.884706020355225,give,place
4.885286808013916,snow,winter
4.886470317840576,what,no
4.888476848602295,hear,want
4.888913154602051,get,close
4.888916492462158,day,afternoon
4.889254093170166,destroy,kill
4.8930439949035645,mother-in-law,stepmother
4.8930439949035645,stepmother,mother-in-law
4.893980979919434,give,pull
4.895295143127441,outside,up
4.898707866668701,and,own
4.899564266204834,hand,finger
4.899589538574219,clever,smart
4.90260124206543,sick,tired
4.902695655822754,town,village
4.903059959411621,move,step
